job_id,job_title,company,location,category,experience_required,required_skills,description
1,Data Analyst,Northwind Analytics,Bengaluru,Analytics,1,"python,sql,excel,power bi,data analysis","Analyze business data, build dashboards, and report insights to stakeholders using SQL and Power BI."
2,BI Analyst,Vertex Insights,Hyderabad,Analytics,2,"sql,tableau,power bi,statistics,data analysis","Design BI reports and dashboards, work with stakeholders to define KPIs using Tableau and Power BI."
3,Junior Data Scientist,Aurora Labs,Pune,Data Science,1,"python,pandas,numpy,scikit-learn,statistics","Build predictive models, clean datasets, and support senior data scientists with ML experimentation."
4,Business Analyst,Meridian Corp,Mumbai,Business,2,"excel,sql,data analysis,business analysis","Gather requirements, analyze business processes, and produce reports for management."
5,ML Intern,Quantum AI,Remote,Machine Learning,0,"python,scikit-learn,pandas,numpy","Assist with data preprocessing, model training, and evaluation under supervision."
6,Data Engineer,Skyline Systems,Bengaluru,Data Engineering,2,"python,sql,etl,aws,docker","Build and maintain ETL pipelines, work with cloud data warehouses on AWS."
7,Machine Learning Engineer,Nimbus Tech,Hyderabad,Machine Learning,3,"python,tensorflow,pytorch,docker,aws","Deploy and maintain ML models in production, optimize training pipelines."
8,Data Analyst II,Cobalt Retail,Chennai,Analytics,2,"sql,excel,python,tableau","Support merchandising teams with sales and inventory data analysis."
9,Product Analyst,Fernwood Inc,Remote,Analytics,1,"sql,python,a/b testing,data analysis","Analyze product usage data and run A/B tests to guide feature decisions."
10,Software Engineer (Backend),Ironclad Systems,Pune,Software Engineering,2,"python,flask,sql,docker,git","Build backend services and APIs, work with relational databases."
11,Full Stack Developer,Brightpath Web,Bengaluru,Web Development,2,"javascript,react,html,css,flask","Develop and maintain web applications across frontend and backend."
12,Data Science Intern,Solstice Analytics,Remote,Data Science,0,"python,pandas,statistics,scikit-learn","Support data cleaning, exploratory analysis, and basic modeling tasks."
13,Cloud Data Engineer,Highline Cloud,Hyderabad,Data Engineering,3,"python,sql,aws,azure,docker","Design cloud-native data pipelines and manage data infrastructure on AWS/Azure."
14,Business Intelligence Developer,Cascade Retail,Mumbai,Analytics,2,"sql,power bi,tableau,etl","Develop BI solutions and automate reporting workflows for retail operations."
15,NLP Engineer,Lexicon AI,Remote,Machine Learning,2,"python,nlp,scikit-learn,pytorch,statistics","Build NLP pipelines for text classification and information extraction."
16,Database Administrator,Ironclad Systems,Chennai,Databases,3,"mysql,postgresql,sql,git","Manage database performance, backups, and security for production systems."
17,Junior Backend Developer,Vertex Insights,Bengaluru,Software Engineering,1,"python,flask,mysql,git","Support backend API development and bug fixes under senior engineer guidance."
18,Data Analytics Consultant,Meridian Corp,Remote,Analytics,3,"sql,excel,power bi,business analysis,statistics","Advise clients on data strategy and build custom analytics dashboards."
19,Machine Learning Researcher,Aurora Labs,Pune,Machine Learning,4,"python,tensorflow,pytorch,statistics,nlp","Conduct applied ML research and publish findings; prototype new model architectures."
20,DevOps Engineer,Skyline Systems,Hyderabad,DevOps,2,"docker,kubernetes,aws,git,ci/cd","Maintain CI/CD pipelines and container orchestration for production deployments."
